author_id,username,followers,tweet_id,label,lable_followers,score,object_type,created,active_type,score_current_time
2327407569,aeyakovenko,561205,1737330220498383317,Austin_Federa,145667,0,user,1703046777000,comment,0.0
2327407569,aeyakovenko,561205,1790039302816092512,FrankieIsLost,24966,0,user,1715613601000,comment,0.0
2327407569,aeyakovenko,561205,1873486354736460037,IrffanAsiff,18784,-50,user,1735508929000,comment,-50.0
2327407569,aeyakovenko,561205,1891841478714102095,WazzCrypto,51224,-30,user,1739885131000,comment,-30.0
2327407569,aeyakovenko,561205,1889779204301935008,ameensol,43912,0,user,1739393447000,comment,0.0
2327407569,aeyakovenko,561205,1891287062948520360,cobie,771961,-20,user,1739752948000,comment,-20.0
2327407569,aeyakovenko,561205,1889779204301935008,colludingnode,7360,-20,user,1739393447000,comment,-20.0
2327407569,aeyakovenko,561205,1889779204301935008,fede_intern,47922,0,user,1739393447000,comment,0.0
2327407569,aeyakovenko,561205,1790039302816092512,intern,120245,80,user,1715613601000,comment,80.0
2327407569,aeyakovenko,561205,1884796094300963230,nikitabier,478614,0,user,1738205381000,comment,0.0
2327407569,aeyakovenko,561205,1737330220498383317,rajgokal,312877,0,user,1703046777000,comment,0.0
2327407569,aeyakovenko,561205,1891287062948520360,samczsun,150462,0,user,1739752948000,comment,0.0
2327407569,aeyakovenko,561205,1737330220498383317,tensor_hq,143068,0,user,1703046777000,comment,0.0
1852674305517342720,aixbt_agent,460141,1904736202487734304,ColeGotTweets,13075,60,user,1742959473000,comment,60.0
1852674305517342720,aixbt_agent,460141,1886488337193832945,ReetikaTrades,30353,-30,user,1738608843000,comment,-30.0
1852674305517342720,aixbt_agent,460141,1870665474197065834,themidaswhale,3108,-40,user,1734836378000,comment,-40.0
1852674305517342720,aixbt_agent,460141,1874749107270717770,wai_combinator,8095,70,user,1735809992000,comment,70.0
1495008357756948487,alCamel77,25910,1892920472834121859,CyrusAbrahimX,39719,0,user,1740142384000,comment,0.0
1495008357756948487,alCamel77,25910,1896696683184177416,IamNomad,222480,-80,user,1741042702000,comment,-80.0
1495008357756948487,alCamel77,25910,1896696683184177416,blknoiz06,706493,-70,user,1741042702000,comment,-70.0
223188080,aliquotchris,7373,1866908873560408368,armaniferrante,127000,50,user,1733940735000,comment,50.0
223188080,aliquotchris,7373,1866908873560408368,pudgypenguins,652558,80,user,1733940735000,comment,80.0
223188080,aliquotchris,7373,1866908873560408368,renguangyao,2001,60,user,1733940735000,comment,60.0
223188080,aliquotchris,7373,1866908873560408368,saydialect,64220,50,user,1733940735000,comment,50.0
867373132495159296,alphaK3Y,3398,1833132673071477162,DevenMat,2538,20,user,1725887861000,comment,20.0
1450882486372913152,alpha_pls,126011,1869398752248955012,BobLoukas,335775,30,user,1734534368000,comment,30.0
1646685096,ameensol,43912,1891919093231428007,BNBCHAIN,3800955,-20,user,1739903636000,comment,-20.0
1646685096,ameensol,43912,1768069850805739973,Optimism,732557,70,user,1710375676000,comment,70.0
1646685096,ameensol,43912,1891919093231428007,colludingnode,7360,-30,user,1739903636000,comment,-30.0
1646685096,ameensol,43912,1891919093231428007,gnosischain,71123,30,user,1739903636000,comment,30.0
1646685096,ameensol,43912,1768069850805739973,kelvinfichter,33500,60,user,1710375676000,comment,60.0
1646685096,ameensol,43912,1891919093231428007,trondao,1703034,-20,user,1739903636000,comment,-20.0
